id,title,url,engine,status,created_at,completed_at,output_dir
37,COBOL in 100 seconds,https://youtu.be/7d7-etf-wNI?si=mtH18wWlkrklgMuR,gpt-4o-mini-transcribe,completed,2025-09-05 23:12:31.279282,2025-09-05 23:13:39.327491,
36,어떤 과학자도 수백 톤의 비행기가 뜨는 원리를 명확히 답변할 수 없는 이유,https://youtu.be/a43odKajx0I?si=oUAtAeM594vPRtXr,gpt-4o-mini-transcribe,completed,2025-09-05 18:43:27.965377,2025-09-05 18:46:03.164301,
35,[지금뉴스] “무작정 그곳에 가기로”…‘10년 전 안동역 약속’ 결단한 KBS / KBS 2025.08.09.,https://youtu.be/fUUTMVnneSI?si=gbYwCIjOOiPFXwa8,gpt-4o-mini-transcribe,completed,2025-09-05 18:37:16.192624,2025-09-05 18:37:59.184148,
34,AI Breakfast S2 | Episode 1 - AI의 판도를 뒤집다 : Google I/O 2025 클라우드 업데이트 (Part 1),https://youtu.be/Dm1V-ODwb1Q?si=ef8Fp212kP1yIpvj,gpt-4o-mini-transcribe,completed,2025-09-05 18:34:09.475024,2025-09-05 18:36:07.684463,
33,AI Breakfast S2 | Episode 1 - AI의 판도를 뒤집다 : Google I/O 2025 클라우드 업데이트 (Part 1),https://youtu.be/Dm1V-ODwb1Q?si=ef8Fp212kP1yIpvj,youtube-transcript-api,completed,2025-09-05 18:32:55.973391,2025-09-05 18:33:37.971333,
32,"챗GPT 에이전트 출시, 정말 좋은지 젠스파크와 마너스 비교해 봤습니다.",https://www.youtube.com/watch?v=iOGLsA1JfmA,gpt-4o-mini-transcribe,completed,2025-09-02 17:25:08.824095,2025-09-02 17:27:19.943582,
31,최신 기술 스택이 필요 없는 이유 (index.php 하나로 월 5억 버는 비밀),https://www.youtube.com/watch?v=mbLA6jn5X5I,gpt-4o-mini-transcribe,completed,2025-09-02 17:25:00.032952,2025-09-02 17:26:14.382523,
30,"""업무 전부 자동화"" 여러 AI를 합쳐서 커스텀하는 구글의 역대급 AI 에이전트 출시..ㄷㄷ",https://www.youtube.com/watch?v=GzGcQzMo_Rw,gpt-4o-mini-transcribe,completed,2025-09-02 17:24:49.584605,2025-09-02 17:26:31.362679,
29,챗GPT 이 갈았다! 에이전트 모드 오픈! 업무 자동화를 통해 일잘러가 되보자!,https://www.youtube.com/watch?v=N6W51Jk-qM8,gpt-4o-mini-transcribe,completed,2025-09-02 17:24:40.387735,2025-09-02 17:26:42.146247,
28,[ChatGPT 에이전트 모드 활용 사례 하나] 프레젠테이션 파일 작성하기,https://www.youtube.com/watch?v=YiV8mWfBfes,gpt-4o-mini-transcribe,completed,2025-09-02 17:24:33.057362,2025-09-02 17:26:25.402737,
27,[캐럿티브 AI챔피언/바이브코딩] AI가 정말 코드를 이해하고 있을까? 왜 AI 에이전트가 코드를 망치는가,https://youtu.be/53ofL2EAiiQ?si=Jblm_xXoNtS-PBbV,gpt-4o-mini-transcribe,completed,2025-09-02 16:44:15.346915,2025-09-02 16:46:36.338813,
26,[KCI-KASS-CDJ 콜로키움] 아베노믹스 이후 일본의 거시경제,https://www.youtube.com/live/SJjeTz7wDxM?si=swJGdSats4eRR_NA,gpt-4o-mini-transcribe,completed,2025-09-02 14:41:49.839122,2025-09-02 14:45:52.267543,
25,"실전 Vibe Coding - GPT 5 vs Gemini CLI 3개월 걸린 앱을 한번에 개발하라고 시켰더니, 1시간만에 나온 결과가... ㄷㄷㄷ ...",https://youtu.be/kGliHAdp3Yg?si=7yooyUF-5g_AswzEhttps://youtu.be/kGliHAdp3Yg?si=7yooyUF-5g_AswzE,gpt-4o-mini-transcribe,completed,2025-09-02 14:38:01.505995,2025-09-02 14:39:39.287162,
24,5분만에 Kubernetes 리소스 9개 이해하기,https://youtu.be/bM6-AbChWPE?si=oRqdQ9H5sA_aa2Yf,whisper-cpp,completed,2025-09-01 19:47:34.504154,2025-09-01 19:49:10.551337,
23,"""올드머니의 상속녀 글로리아 밴더빌트"" #밴더빌트 #앤더슨쿠퍼 #도금시대 #강도남작 #골드러시 #글로리아반더빌트 #휘트니미술관 #빌트모아 #브레이커스 #올드머니 #밴더빌트대학교",https://youtu.be/T6qCs-CjSic?si=myUbkmiL0JazH59W,whisper-api,completed,2025-09-01 18:21:34.819845,2025-09-01 18:23:44.520919,
